howmany,island,frequency,task,power,time
2,big,400000,gzip-9,369586.36242690054,0.3190670834335177
2,big,500000,gzip-9,448707.15935672517,0.2548689588843472
2,big,600000,gzip-9,532200.5016081871,0.212310651598942
2,big,700000,gzip-9,617589.2507309942,0.1818225534984371
2,big,800000,gzip-9,725021.230116959,0.1590767011300793
2,big,900000,gzip-9,860849.4828947368,0.1414763164222169
2,big,1000000,gzip-9,1009984.8735380118,0.1273863909593652
2,big,1100000,gzip-9,1175903.5628654968,0.1157970666025486
2,big,1200000,gzip-9,1351192.7323099417,0.1062755470064919
2,big,1300000,gzip-9,1542908.3711988304,0.0981485934118778
2,big,1400000,gzip-9,1752809.1903508774,0.0912719403702813
2,big,1500000,gzip-9,1987164.8482456137,0.085212791536427
2,big,1600000,gzip-9,2293891.9776315787,0.0799230584275066
2,big,1700000,gzip-9,2651283.39122807,0.0753065640779033
2,big,1800000,gzip-9,3055861.1929824566,0.0712671315220005
2,big,1900000,gzip-9,3528472.257894737,0.0676316422216879
2,big,2000000,gzip-9,3940791.4752923977,0.0641692714594854
2,big,200000,hash,186646.1869883041,0.5674993356364603
2,big,300000,hash,271005.68304093566,0.3758083089733368
2,big,400000,hash,354227.1286549708,0.2810257773053414
2,big,500000,hash,432437.4326023391,0.2249092036495703
2,big,600000,hash,509460.2014619884,0.1875276818141553
2,big,700000,hash,590099.559502924,0.1609531402249978
2,big,800000,hash,689708.2720760233,0.1408007795198866
2,big,900000,hash,816693.6983918129,0.1254761272034724
2,big,1000000,hash,957918.1073099413,0.1130746744618655
2,big,1100000,hash,1111317.8347953216,0.1030206395606342
2,big,1200000,hash,1277492.4270467835,0.0945167862521038
2,big,1300000,hash,1459846.0286549707,0.0875631145362742
2,big,1400000,hash,1650917.180116959,0.0816281335813623
2,big,1500000,hash,1860724.0434210524,0.0763575161661794
2,big,1600000,hash,2152925.975292398,0.0716183895827796
2,big,1700000,hash,2476210.328654971,0.0676056338028169
2,big,1800000,hash,2836899.5431286544,0.0641509433962264
2,big,1900000,hash,3347522.3122807015,0.0609619984055275
2,big,2000000,hash,3892507.148391813,0.0578262024980069
2,big,200000,idle,29714.405701754386,0.0
2,big,300000,idle,36667.20614035088,0.0
2,big,400000,idle,43959.65131578947,0.0
2,big,500000,idle,49942.20394736842,0.0
2,big,600000,idle,55386.11184210526,0.0
2,big,700000,idle,62486.72149122807,0.0
2,big,800000,idle,70789.28289473684,0.0
2,big,900000,idle,82052.88596491228,0.0
2,big,1000000,idle,95939.98903508772,0.0
2,big,1100000,idle,110361.93421052632,0.0
2,big,1200000,idle,123850.00877192985,0.0
2,big,1300000,idle,143356.77850877194,0.0
2,big,1400000,idle,161186.93640350876,0.0
2,big,1500000,idle,182163.88377192983,0.0
2,big,1600000,idle,210462.20175438595,0.0
2,big,1700000,idle,240915.07675438595,0.0
2,big,1800000,idle,282202.83771929826,0.0
2,big,1900000,idle,325980.44736842107,0.0
2,big,2000000,idle,412970.99342105264,0.0
2,little,200000,decrypt,37625.22631578946,1.0
2,little,300000,decrypt,54563.04181286549,0.6615656542164751
2,little,400000,decrypt,71391.37485380117,0.494906739848365
2,little,500000,decrypt,87587.0192982456,0.3946695195125354
2,little,600000,decrypt,113355.28260233918,0.3302014047164984
2,little,700000,decrypt,142899.7823099415,0.281780547932462
2,little,800000,decrypt,172119.94035087718,0.2473138285501651
2,little,900000,decrypt,206663.70350877196,0.2195916089120423
2,little,1000000,decrypt,246165.56491228077,0.1974510442346155
2,little,1100000,decrypt,289180.855994152,0.1797758035257453
2,little,1200000,decrypt,337246.98523391807,0.164844876505884
2,little,1300000,decrypt,399379.60175438586,0.1522396390529792
2,little,1400000,decrypt,470136.9580409357,0.1415414670449788
2,little,1500000,decrypt,536804.8320175438,0.1325643053165263
2,little,200000,encrypt,37494.671929824566,1.0
2,little,300000,encrypt,54294.52514619882,0.6620589475657184
2,little,400000,encrypt,71053.22295321635,0.494447307998688
2,little,500000,encrypt,87289.85219298245,0.3946862846164659
2,little,600000,encrypt,113151.33801169592,0.3285694203645565
2,little,700000,encrypt,142635.7729532164,0.2815238273745372
2,little,800000,encrypt,171778.30511695903,0.2466144979148118
2,little,900000,encrypt,205961.4415204678,0.2203270699592334
2,little,1000000,encrypt,245804.96535087723,0.198022585633288
2,little,1100000,encrypt,288430.074122807,0.1797010449369757
2,little,1200000,encrypt,337102.74576023396,0.1656435968323883
2,little,1300000,encrypt,399682.8425438596,0.1522421629726817
2,little,1400000,encrypt,470083.66505847947,0.1422145166580759
2,little,1500000,encrypt,536450.6587719298,0.1323274448245162
2,little,200000,gzip-1,35885.76812865498,1.0
2,little,300000,gzip-1,50019.534356725155,0.6564075630252101
2,little,400000,gzip-1,62791.18567251462,0.4882878151260504
2,little,500000,gzip-1,73823.00204678364,0.3900735294117647
2,little,600000,gzip-1,95118.62675438597,0.3251050420168068
2,little,700000,gzip-1,114329.82748538011,0.2793067226890756
2,little,800000,gzip-1,140612.62119883043,0.2447478991596639
2,little,900000,gzip-1,162314.6384502924,0.2190126050420168
2,little,1000000,gzip-1,189723.6397660819,0.1985819327731092
2,little,1100000,gzip-1,221237.4188596491,0.1789915966386554
2,little,1200000,gzip-1,252279.03961988306,0.1648109243697479
2,little,1300000,gzip-1,291616.6473684211,0.152626050420168
2,little,1400000,gzip-1,339709.6783625731,0.1423319327731092
2,little,1500000,gzip-1,385676.1692982456,0.1330357142857142
2,little,200000,gzip-5,36347.69897660818,1.0
2,little,300000,gzip-5,50822.22938596492,0.6602585668284711
2,little,400000,gzip-5,65129.430701754405,0.4934877685394337
2,little,500000,gzip-5,77190.64912280702,0.3936655933099437
2,little,600000,gzip-5,97876.31184210526,0.3291200076897198
2,little,700000,gzip-5,120556.1668128655,0.2816359878886913
2,little,800000,gzip-5,144787.21023391816,0.2474647955015139
2,little,900000,gzip-5,170616.6081871345,0.2208872014225981
2,little,1000000,gzip-5,196246.6985380117,0.2010381121737876
2,little,1100000,gzip-5,226840.06125730995,0.1821982986494929
2,little,1200000,gzip-5,262432.5866959065,0.1663382515499591
2,little,1300000,gzip-5,305008.44283625734,0.1552842793290719
2,little,1400000,gzip-5,352610.7111111111,0.143845821117893
2,little,1500000,gzip-5,399624.86067251465,0.1350026433411832
2,little,200000,gzip-9,36342.06111111111,1.0
2,little,300000,gzip-9,50928.31564327485,0.6584755950949749
2,little,400000,gzip-9,64606.72339181285,0.4934359220966579
2,little,500000,gzip-9,77261.65438596491,0.3939889396489541
2,little,600000,gzip-9,97987.00321637427,0.3298869920654003
2,little,700000,gzip-9,120693.0100877193,0.2830007213272421
2,little,800000,gzip-9,144565.70014619885,0.2477518634287088
2,little,900000,gzip-9,170661.94809941517,0.2207742245732147
2,little,1000000,gzip-9,197112.57324561404,0.1983649915845154
2,little,1100000,gzip-9,227411.3374269006,0.1819668189468622
2,little,1200000,gzip-9,261998.919005848,0.167540274104352
2,little,1300000,gzip-9,304595.5755847953,0.1542678528492426
2,little,1400000,gzip-9,354293.9488304093,0.1436883866314018
2,little,1500000,gzip-9,400970.1650584795,0.1349843712430873
2,little,200000,hash,33077.28947368421,1.0
2,little,300000,hash,47527.45657894737,0.6648950305607227
2,little,400000,hash,61795.05292397659,0.4977411639649217
2,little,500000,hash,75523.09824561403,0.3982195057135264
2,little,600000,hash,97167.65570175437,0.3323589334750642
2,little,700000,hash,121751.69576023391,0.2851005403490123
2,little,800000,hash,148734.84195906433,0.2498449818407299
2,little,900000,hash,176868.1442982456,0.2226060767118433
2,little,1000000,hash,209182.4176900585,0.2007263708034369
2,little,1100000,hash,245051.1567251462,0.1828771370360528
2,little,1200000,hash,284330.48786549707,0.1680839755514217
2,little,1300000,hash,336135.18523391814,0.155549650101869
2,little,1400000,hash,394808.6466374269,0.1450527061741518
2,little,1500000,hash,450409.2058479532,0.1357959075205952
2,little,200000,idle,9238.804824561405,0.0
2,little,300000,idle,11662.326754385966,0.0
2,little,400000,idle,14739.322368421052,0.0
2,little,500000,idle,17003.47587719298,0.0
2,little,600000,idle,21402.447368421053,0.0
2,little,700000,idle,27034.129385964912,0.0
2,little,800000,idle,33128.20175438596,0.0
2,little,900000,idle,39642.149122807015,0.0
2,little,1000000,idle,47670.88596491228,0.0
2,little,1100000,idle,56177.60745614035,0.0
2,little,1200000,idle,65394.866228070176,0.0
2,little,1300000,idle,79200.67543859649,0.0
2,little,1400000,idle,93324.00438596492,0.0
2,little,1500000,idle,109331.9846491228,0.0
3,big,200000,decrypt,248789.3168859649,0.5974696497511511
3,big,300000,decrypt,367069.1100877192,0.3948090608865529
3,big,400000,decrypt,485261.758114035,0.2950834922554536
3,big,500000,decrypt,594992.6015350877,0.2354062979673473
3,big,600000,decrypt,705381.2390350876,0.1959160891204241
3,big,700000,decrypt,823520.239254386,0.1679613005256058
3,big,800000,decrypt,965136.5403508774,0.1469370668403181
3,big,900000,decrypt,1151375.5603070175,0.1306107260802828
3,big,1000000,decrypt,1352774.445614035,0.1176333782966649
3,big,1100000,decrypt,1576963.2219298244,0.1070282338713428
3,big,1200000,decrypt,1815327.165350877,0.0981440997255686
3,big,1300000,decrypt,2080692.9364035083,0.0906088655286292
3,big,1400000,decrypt,2359744.7798245614,0.0844225312805246
3,big,1500000,decrypt,2674832.979605263,0.0787943625284897
3,big,1600000,decrypt,3086937.0184210525,0.0740034420205591
3,big,1700000,decrypt,3555479.833333333,0.0696590539094841
3,big,1800000,decrypt,4093793.033114035,0.0658635285362109
3,big,1900000,decrypt,4839284.410526316,0.0624587190101865
3,big,2000000,decrypt,5551941.628289474,0.0593329922321968
3,big,200000,encrypt,247665.78355263156,0.6105618293425801
3,big,300000,encrypt,362684.9361842106,0.4040110585258422
3,big,400000,encrypt,475323.5877192982,0.3015791200037487
3,big,500000,encrypt,583190.3864035088,0.2408040860315823
3,big,600000,encrypt,689947.4377192983,0.2005060681317651
