power,island,task,time,howmany,frequency,time_rel
2291207.07070707,cpu,cacherate-40,4.43040592554875,4,599999,1.0455931595350727
2250806.193806194,cpu,cacherate-60,4.196785945564814,4,599999,1.3780356451478697
2238289.579158317,cpu,cacherate-80,3.352766260441739,4,599999,1.4419633527625193
1897750.0,cpu,decrypt,7.7623810499824994,4,599999,0.4813726978600986
1896860.0,cpu,encrypt,7.7508579697275,4,599999,0.4827539461326619
1940095.573440644,cpu,gzip-1,9.520797470587178,4,599999,0.4982601788282427
1938563.38028169,cpu,gzip-5,10.20372986712564,4,599999,0.5055210101170508
1938516.6498486376,cpu,gzip-9,10.3370219133025,4,599999,0.5120055803209966
1907773.641851107,cpu,hash,5.3518519468850005,4,599999,0.4748316159886991
1608720.0,cpu,idle,2.002330497605,4,599999,0.9989113955211382
